pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_rade
TOI-1518 b,1,1,1.902603,1.1e-05,-1.1e-05,0,0.0389,0.0011,-0.0011,0,731.0053361,,,1.0,2.3,,,1.0,0.01,,,1.0,F0,7300.0,100.0,-100.0,0,1.95,0.048,-0.048,0,1.79,0.26,-0.26,0,-0.1,0.12,-0.12,0.0,[Fe/H],4.1,0.2,-0.2,0.0,8.952,0.003,-0.003,8.325,0.021,-0.021,8.89529,0.000283,-0.000283,21.05046575
TOI-157 b,1,1,2.0845435,2.3e-06,-2.3e-06,0,0.03138,0.00025,-0.0002,0,375.0394,41.3179,-38.1396,0.0,1.18,0.13,-0.12,0.0,0.0,,,0.0,G9 IV,5404.0,70.0,-67.0,0,1.167,0.017,-0.014,0,0.948,0.023,-0.018,0,0.24,0.09,-0.09,0.0,[Fe/H],4.281,0.011,-0.011,0.0,12.725,0.046,-0.046,10.892,0.023,-0.023,12.5143,0.000285,-0.000285,14.414774
TOI-159 b,2,1,3.7628396,3e-07,-3e-07,0,0.056,0.0007,-0.0007,0,1110.0,79.0,-84.0,0.0,3.49,0.26,-0.26,0.0,0.24,0.03,-0.04,0.0,F0 V,7287.0,69.0,-73.0,0,1.62,0.014,-0.014,0,1.661,0.017,-0.019,0,0.3,0.01,-0.01,0.0,[Fe/H],4.23,0.01,-0.01,0.0,11.021,0.009,-0.009,9.758,0.02,-0.02,10.8504,0.00048,-0.00048,18.18
TOI-163 b,1,1,4.231306,6.3e-05,-5.7e-05,0,0.058,0.0014,-0.0014,0,387.7526,38.1396,-38.1396,0.0,1.22,0.12,-0.12,0.0,0.0,,,0.0,F,6495.0,90.0,-90.0,0,1.648,0.023,-0.025,0,1.4352,0.029,-0.028,0,0.22,0.041,-0.041,0.0,[Fe/H],4.187,0.011,-0.011,0.0,11.467,0.014,-0.014,10.124,0.023,-0.023,11.2193,0.000527,-0.000527,16.690201
TOI-1634 b,2,2,0.989343,1.5e-05,-1.5e-05,0,0.01545,0.00014,-0.00014,0,4.91,0.68,-0.7,0.0,0.01544859,0.00213952,-0.00220245,0.0,0.16,,,1.0,M2,3550.0,69.0,-69.0,0,0.45,0.013,-0.013,0,0.502,0.014,-0.014,0,0.23,0.07,-0.08,0.0,[Fe/H],4.833,0.028,-0.028,0.0,13.217,0.043,-0.043,8.6,0.014,-0.014,12.1965,0.000268,-0.000268,1.759
TOI-1670 b,1,2,10.98462,0.00046,-0.00051,0,0.103,0.002,-0.002,0,41.31769291,,,1.0,0.13,,,1.0,0.59,0.17,-0.26,0.0,F7 V,6170.0,61.0,-61.0,0,1.316,0.019,-0.019,0,1.21,0.02,-0.02,0,0.09,0.07,-0.07,0.0,[Fe/H],4.29,0.11,-0.11,0.0,9.889,0.004,-0.004,8.724,0.018,-0.018,9.81934,0.00037,-0.00037,2.06
TOI-1670 c,1,2,40.74976,2.2e-05,-0.00021,0,0.249,0.005,-0.005,0,200.2318964,28.60455663,-25.42627256,0.0,0.63,0.09,-0.08,0.0,0.09,0.05,-0.04,0.0,F7 V,6170.0,61.0,-61.0,0,1.316,0.019,-0.019,0,1.21,0.02,-0.02,0,0.09,0.07,-0.07,0.0,[Fe/H],4.29,0.11,-0.11,0.0,9.889,0.004,-0.004,8.724,0.018,-0.018,9.81934,0.00037,-0.00037,11.06326395
TOI-1680 b,1,1,4.8026345,4e-06,-3.9e-06,0,0.03144,0.00025,-0.00026,0,,,,,,,,,,,,,M4.5+/-0.5,3225.0,99.0,-100.0,0,0.2106,0.0061,-0.0048,0,0.1798,0.0044,-0.0044,0,0.04,0.2,-0.2,0.0,[Fe/H],5.046,0.027,-0.021,0.0,15.87,0.2,-0.2,10.821,0.02,-0.02,14.6457,0.000537,-0.000537,1.466
TOI-1685 b,1,1,0.66913924,4.2e-07,-4.2e-07,0,0.01138,0.00035,-0.00034,0,3.03,0.33,-0.32,0.0,0.00953345,0.0010383,-0.00100683,0.0,0.0,,,0.0,M2.65 V,3575.0,53.0,-53.0,0,0.4555,0.0128,-0.0128,0,0.454,0.018,-0.018,0,0.3,0.1,-0.1,0.0,[Fe/H],,,,,13.378,0.028,-0.028,8.758,0.02,-0.02,12.2956,0.000308,-0.000308,1.421
TOI-169 b,1,1,2.2554477,6.3e-06,-6.3e-06,0,0.03524,0.00069,-0.00079,0,251.40353,20.34112,-19.0698,0.0,0.791,0.064,-0.06,0.0,0.0,,,0.0,G1 V,5880.0,54.0,-49.0,0,1.288,0.02,-0.019,0,1.147,0.069,-0.075,0,0.24,0.09,-0.09,0.0,[Fe/H],4.278,0.029,-0.033,0.0,12.355,0.046,-0.046,10.815,0.024,-0.024,12.2379,0.000188,-0.000188,12.172974
TOI-1695 b,1,1,3.1342791,7.1e-06,-6.3e-06,0,0.033548,0.00026,-0.000268,0,6.36,1.0,-1.0,0.0,0.0200108,0.00314635,-0.00314635,0.0,0.097,,,1.0,M1 V,3690.0,50.0,-50.0,0,0.515,0.015,-0.015,0,0.513,0.012,-0.012,0,0.0,0.5,-0.5,0.0,[Fe/H],4.725,0.027,-0.026,0.0,12.989,0.081,-0.081,8.818,0.021,-0.021,12.1364,0.00046,-0.00046,1.9
TOI-1696 b,1,1,2.500311,4e-06,-4e-06,0,0.0229,0.0002,-0.0002,0,48.8,,,1.0,0.15354197,,,1.0,,,,,M5V,3185.0,76.0,-76.0,0,0.2775,0.008,-0.008,0,0.255,0.0066,-0.0066,0,0.336,0.06,-0.06,0.0,[Fe/H],4.959,0.026,-0.026,0.0,16.82,1.133,-1.133,11.331,0.023,-0.023,15.3314,0.000421,-0.000421,3.09
TOI-1710 b,2,1,24.283429,4.3e-05,-4.3e-05,0,0.16,0.04,-0.04,0,28.3,4.7,-4.7,0.0,0.08904176,0.01478785,-0.01478785,0.0,0.16,0.08,-0.08,0.0,G5 V,5665.0,55.0,-55.0,0,0.968,0.016,-0.014,0,0.984,0.05,-0.059,0,0.1,0.07,-0.07,0.0,[Fe/H],4.46,0.1,-0.1,0.0,9.545,0.003,-0.003,7.959,0.026,-0.026,9.35983,0.00023,-0.00023,5.258
