pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
Barnard d,1,4,2.3402,0.0003,-0.0003,0,0.0188,0.0003,-0.0003,0,0.263,0.024,-0.024,0,0.00082749,0.00007551,-0.00007551,0,0.04,0.05,-0.03,0,M3.5-4 V,3195,28,-28,0,0.185,0.006,-0.006,0,0.162,0.007,-0.007,0,-0.56,0.07,-0.07,0,[Fe/H],4.9,0.09,-0.09,0,9.54,0.1,-0.1,4.524,0.02,-0.02,8.19511,0.001998,-0.001998
Barnard e,1,4,6.7392,0.003,-0.003,0,0.0381,0.0005,-0.0005,0,0.193,0.033,-0.033,0,0.00060725,0.00010383,-0.00010383,0,0.04,0.03,-0.04,0,M3.5-4 V,3195,28,-28,0,0.185,0.006,-0.006,0,0.162,0.007,-0.007,0,-0.56,0.07,-0.07,0,[Fe/H],4.9,0.09,-0.09,0,9.54,0.1,-0.1,4.524,0.02,-0.02,8.19511,0.001998,-0.001998
CD Cet b,1,1,2.2907,0.00012,-0.00012,0,0.0185,0.0013,-0.0013,0,3.95,0.42,-0.43,0,0.01242809,0.00132147,-0.00135293,0,,,,,M5.0 V,3130,51,-51,0,0.175,0.006,-0.006,0,0.161,0.01,-0.01,0,0.13,0.16,-0.16,0,[Fe/H],4.93,0.04,-0.04,0,13.95,0.2,-0.2,7.833,0.024,-0.024,12.1232,0.00105,-0.00105
CFHTWIR-Oph 98 b,1,1,8040000.00000000000,470000.00000000000,-470000,0,200,6,-6,0,2479.061575,222.4798849,-254.2627256,0,7.8,0.7,-0.8,0,,,,,M9-L1,2320,40,-40,0,0.245,0.007,-0.008,0,0.0147,0.0008,-0.0008,0,,,,,,3.845,0.007,-0.008,0,,,,14.593,0.098,-0.098,,,
COCONUTS-2 b,1,1,402000000.00000000000,470000000.00000000000,-100000000,0,7506,5205,-2060,0,2002.318964,476.7426105,-603.8739733,0,6.3,1.5,-1.9,0,,,,,M3 V,3406,69,-69,0,0.388,0.011,-0.011,0,0.37,0.02,-0.02,0,0,0.08,-0.08,0,[Fe/H],4.83,0.03,-0.03,0,11.298,0.027,-0.027,6.579,0.018,-0.018,10.146,0.001567,-0.001567
CoRoT-10 b,1,1,13.2406,0.0002,-0.0002,0,0.1055,0.0021,-0.0021,0,874,50.85,-50.85,0,2.75,0.16,-0.16,0,0.53,0.04,-0.04,0,K1 V,5075,75,-75,0,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0,0.26,0.07,-0.07,0,[Fe/H],4.65,0.1,-0.1,0,15.293,0.137,-0.137,11.782,0.021,-0.021,14.6645,0.000329,-0.000329
CoRoT-11 b,1,1,2.99433,0.000011,-0.000011,0,0.0436,0.005,-0.005,0,740.51,108.06,-108.06,0,2.33,0.34,-0.34,0,0,,,0,F6 V,6440,120,-120,0,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0,-0.03,0.08,-0.08,0,[Fe/H],4.22,0.23,-0.23,0,12.897,0.114,-0.114,11.248,0.022,-0.022,12.841,0.000336,-0.000336
CoRoT-13 b,1,1,4.03519,0.00003,-0.00003,0,0.051,0.0031,-0.0031,0,415.704,20.976,-20.976,0,1.308,0.066,-0.066,0,0,,,0,G0 V,5945,90,-90,0,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0,0.01,0.07,-0.07,0,[Fe/H],4.46,0.05,-0.05,0,15.005,0.297,-0.297,13.376,0.039,-0.039,14.9147,0.0005,-0.0005
CoRoT-14 b,1,1,1.51214,0.00013,-0.00013,0,0.027,0.002,-0.002,0,2415.4,190.7,-190.7,0,7.6,0.6,-0.6,0,0,,,0,F9 V,6035,100,-100,0,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0,0.05,0.15,-0.15,0,[Fe/H],4.35,0.15,-0.15,0,15.932,0.206,-0.206,13.806,0.053,-0.053,15.8116,0.000769,-0.000769
CoRoT-16 b,1,1,5.35227,0.0002,-0.0002,0,0.0618,0.0015,-0.0015,0,170.032,27.014,-26.379,0,0.535,0.085,-0.083,0,0.33,0.09,-0.1,0,G5 V,5650,100,-100,0,1.19,0.14,-0.13,0,1.098,0.082,-0.078,0,0.19,0.06,-0.06,0,[M/H],4.36,0.1,-0.1,0,16.052,0.217,-0.217,12.847,0.037,-0.037,15.6507,0.000998,-0.000998
